node_id,latitude,longitude,area,node_type
10TH_STW_1_1LNODE,46.39089999998146,-116.98003473525635,AVA,LOAD
10TH_STW_1_2LNODE,46.39089999998146,-116.98016526474365,AVA,LOAD
119TH_BP_LNODEXF1,45.70954,-122.496448,BPAT,LOAD
26FTDROP_GNODEIT,39.484637,-118.903608,NV,GEN
2C559EQ2_7_N001,35.294502,-118.854003,CA,GEN
2NDST_BP_LNODELD1,45.61327499998214,-121.20712500150557,BPAT,LOAD
2NDST_BP_LNODELD2,45.61327499998214,-121.20725299849443,BPAT,LOAD
3RD_HTCH_1_1LNODE,47.652754123545215,-117.4014,AVA,LOAD
3RD_HTCH_1_2LNODE,47.652672938206386,-117.40133041753451,AVA,LOAD
3RD_HTCH_1_3LNODE,47.652672938206386,-117.4014695824655,AVA,LOAD
72ND_ST_LNODEOAD,45.756631,-108.700307,NWMT,LOAD
7AVEN_BP_LNODEFMR,46.1212,-122.9324,BPAT,LOAD
9TH_CENT_1_13_1LNODE,47.648799999980504,-117.3217330469234,AVA,LOAD
9TH_CENT_1_13_2LNODE,47.648799999980504,-117.3218669530766,AVA,LOAD
AA_LNODE10A,33.618315,-111.927736,APS,LOAD
AA_LNODE12A,33.61831499995315,-111.92762810848367,APS,LOAD
AA_LNODE13A,33.618225153907645,-111.92762810859617,APS,LOAD
AA_LNODE14A,33.61816162320244,-111.92770439936274,APS,LOAD
AA_LNODER1A,33.6181464300399,-111.92781073688339,APS,LOAD
AA_LNODER2A,33.618177548355625,-111.92791195025296,APS,LOAD
AA_LNODER4A,33.618243074772124,-111.92798576672737,APS,LOAD
AA_LNODER6A,33.61832798707176,-111.92802102780107,APS,LOAD
ABBSLR_U1GNODE,33.0502189999886,-111.34186359106359,SRP,GEN
ABBSLR_U2GNODE,33.0502189999886,-111.34197040893642,SRP,GEN
ABRN_LNODEWR1,45.36482999998227,-122.59793626294004,PGE,LOAD
ABRN_LNODEWR2,45.36482999998227,-122.59806373705996,PGE,LOAD
ABSAROKE_LNODEOAD,45.49951599998221,-109.44792013141782,NWMT,LOAD
ABSAROKE_LNODEREA,45.49951599998221,-109.44804786858218,NWMT,LOAD
ACTON_LNODE115,45.63543,-121.945344,BPAT,LOAD
ACX_GNODESWMPCC,34.5042909999878,-110.3338631303437,APS,GEN
ACX_LNODEUXL,34.5042909999878,-110.3339728696563,APS,LOAD
ADAIR_1_G01GNODE,44.703637,-123.217572,BPAT,GEN
ADAMS_BP_LNODEXF1,44.05688382,-123.1061359,BPAT,LOAD
ADCC_2_N001,37.632663,-121.785728,CA,GEN
ADDY_AVA_7_AVA_ADDYLNODE,48.358,-117.85,AVA,LOAD
ADEL_NW_LNODEOAD,47.018281,-111.587425,NWMT,LOAD
ADLSPP_GNODESOLAR,35.229635,-118.1957,LADWP,GEN
ADOBE_LNODE01,40.8534344367499,-115.79932843553127,NV,LOAD
ADOBE_LNODE02,40.853253563126806,-115.79932843585769,NV,LOAD
ADOBE_LNODE03,40.853253563126806,-115.79956756414231,NV,LOAD
ADOBE_LNODE08,40.8534344367499,-115.79956756446873,NV,LOAD
AD_LNODE10A,33.708874,-112.134464,APS,LOAD
AD_LNODE12A,33.70887399995289,-112.13435589863751,APS,LOAD
AD_LNODE18A,33.70879612171551,-112.13440994936776,APS,LOAD
AD_LNODE20A,33.70879612171551,-112.13451805063224,APS,LOAD
AD_LNODE21A,33.70887399995289,-112.1345721013625,APS,LOAD
AD_LNODE22A,33.70895187826092,-112.13451805073026,APS,LOAD
AD_LNODER9A,33.70895187826092,-112.13440994926974,APS,LOAD
AEC300_1_N001,37.74,-121.48,CA,LOAD
AFPR_GNODE011,42.7779727879236,-112.876153,IPCO,GEN
AFPR_GNODE012,42.777892106020666,-112.87608953648844,IPCO,GEN
AFPR_GNODE013,42.777892106020666,-112.87621646351157,IPCO,GEN
AFSR_GNODEFSR,42.823467,-112.738241,IPCO,GEN
AFTON_3_AFTONCTGNODE,32.11432399998879,-106.84841683416694,PNM,GEN
AFTON_3_AFTONSTGNODE,32.11432399998879,-106.84852316583306,PNM,GEN
AFTS_LNODE131,42.775149,-112.873317,IPCO,LOAD
AF_2_UNIT4GNODE,33.55711076412233,-112.2186701235517,SRP,GEN
AF_2_UNIT5GNODE,33.557032999953336,-112.2186162472004,SRP,GEN
AF_2_UNIT6GNODE,33.55695523585435,-112.2186701236487,SRP,GEN
AF_2_UNIT7GNODE,32.90388,-111.789478,SRP,GEN
AF_2_UNIT8GNODE,32.90387999995474,-111.78937135595777,SRP,GEN
AF_6_UNIT1GNODE,33.55695523585435,-112.2187778763513,SRP,GEN
AF_6_UNIT2GNODE,33.557032999953336,-112.21883175279959,SRP,GEN
AF_6_UNIT3GNODE,33.55711076412233,-112.2187778764483,SRP,GEN
AGNEW_1_N003,37.51,-121.84,CA,LOAD
AGRICO_7_B1,36.61707583794443,-120.099846,CA,GEN
AGRICO_7_B3,36.6169950810137,-120.09978791045373,CA,GEN
AGRICO_7_B4,36.6169950810137,-120.09990408954627,CA,GEN
AGUAF_SR_LNODELD1,33.55424776208332,-112.21605612674992,SRP,LOAD
AGUAF_SR_LNODELD2,33.55416999995331,-112.21600225359681,SRP,LOAD
AGUAF_SR_LNODELD3,33.55409223789332,-112.21605612684691,SRP,LOAD
AGUAF_SR_LNODELD4,33.55409223789332,-112.21616387315309,SRP,LOAD
AGUAF_SR_LNODELD5,33.55416999995331,-112.21621774640319,SRP,LOAD
AGUAF_SR_LNODELD6,33.55424776208332,-112.21616387325008,SRP,LOAD
AGUAMNSA_7_B1,34.042605,-117.362707,CA,GEN
AGUCALG1_7_B1,32.9774,-113.4945,CA,GEN
AG_LNODER1A,33.94437799998814,-113.17928367346995,APS,LOAD
AG_LNODER3A,33.94437799998814,-113.17939232653005,APS,LOAD
AHSAH_BP_1_DCHGNODE,46.507503999981374,-116.30667852060786,BPAT,GEN
AHSAH_BP_LNODEHKA,46.507503999981374,-116.30680947939214,BPAT,LOAD
AHWAT_SR_LNODELD1,33.32749599998847,-111.98952736340104,SRP,LOAD
AHWAT_SR_LNODELD2,33.32749599998847,-111.98963463659896,SRP,LOAD
